Título,Dirección,Precio,Tipo,Habitaciones,Baños,Área,Descripción,Latitud,Longitud,Imágenes,Teléfono,Email
Casa Moderna en Lafayette,Av. Lafayette 123,4500000,house,4,3,250,Amplia casa moderna con diseño abierto y acabados premium en zona residencial,20.6597,-103.3496,https://example.com/casa1.jpg;https://example.com/casa2.jpg,+52331234567,contact@inmobiliaria.com
Departamento de Lujo en Centro,Av. Juárez 456,6500000,apartment,2,2,120,Vida urbana de lujo con vistas a la ciudad y amenidades completas,20.6667,-103.3333,https://example.com/depto1.jpg;https://example.com/depto2.jpg,+52331234568,lujo@apartamentos.mx
Casa Familiar en Providencia,Calle Providencia 789,3200000,house,3,2,180,Casa perfecta para familia en barrio tranquilo con jardín amplio,20.6778,-103.3472,https://example.com/familiar1.jpg;https://example.com/familiar2.jpg,+52331234569,familia@casas.com.mx
Local Comercial en Zona Rosa,Av. Vallarta 321,8500000,commercial,0,0,300,Espacio comercial premium en zona rosa con estacionamiento,20.6736,-103.3438,https://example.com/comercial1.jpg;https://example.com/comercial2.jpg,+52331234570,comercial@negocios.mx
Condominio en Puerta de Hierro,Calle Hierro 654,3800000,condo,3,2.5,160,Condominio moderno con amenidades y ubicación privilegiada,20.6528,-103.3667,https://example.com/condo1.jpg;https://example.com/condo2.jpg,+52331234571,puerta@condos.mx
Casa en Zapopan,Av. Patria 987,5200000,house,4,3,280,Espaciosa casa en Zapopan con jardín y terraza,20.7167,-103.4,https://example.com/zapopan1.jpg;https://example.com/zapopan2.jpg,+52331234572,zapopan@casas.mx
Penthouse en Lafayette,Blvd. Lafayette 555,12000000,apartment,3,3,200,Penthouse de lujo con terraza privada y vistas panorámicas,20.6597,-103.3496,https://example.com/penthouse1.jpg;https://example.com/penthouse2.jpg,+52331234573,lafayette@luxury.mx
Terreno en Tlajomulco,Camino Real 123,2800000,land,0,0,1000,Terreno amplio ideal para desarrollo residencial,20.4833,-103.2833,https://example.com/terreno1.jpg;https://example.com/terreno2.jpg,+52331234574,terrenos@desarrollo.mx
Oficina en Tlaquepaque,Av. Independencia 777,6500000,commercial,0,0,250,Oficina moderna en el corazón de Tlaquepaque,20.6408,-103.3133,https://example.com/oficina1.jpg;https://example.com/oficina2.jpg,+52331234575,tlaquepaque@oficinas.mx
Casa en Tonala,Calle Morelos 333,2900000,house,3,2,150,Casa cómoda en Tonala con fácil acceso a la ciudad,20.6167,-103.2333,https://example.com/tonala1.jpg;https://example.com/tonala2.jpg,+52331234576,tonala@casas.mx
